Name of Restaurant,City,Country Code,Day Of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
500 degrees new york style pizzeria charlotte 2,Charlotte,US,5,11,0,22,0
,,,,,,,
50s diner omelet house las vegas,Las Vegas,US,0,7,0,21,0
,,,,,,,
50s diner omelet house las vegas,Las Vegas,US,1,7,0,21,0
,,,,,,,
50s diner omelet house las vegas,Las Vegas,US,2,7,0,21,0
,,,,,,,
50s diner omelet house las vegas,Las Vegas,US,3,7,0,21,0
,,,,,,,
50s diner omelet house las vegas,Las Vegas,US,4,7,0,21,0
,,,,,,,
50s diner omelet house las vegas,Las Vegas,US,5,7,0,21,0
,,,,,,,
50s diner omelet house las vegas,Las Vegas,US,6,7,0,15,0
,,,,,,,
5280 burger bar denver,Denver,US,0,11,0,22,0
,,,,,,,
5280 burger bar denver,Denver,US,1,11,0,22,0
,,,,,,,
5280 burger bar denver,Denver,US,2,11,0,22,0
,,,,,,,
5280 burger bar denver,Denver,US,3,11,0,22,0
,,,,,,,
5280 burger bar denver,Denver,US,4,11,0,23,0
,,,,,,,
5280 burger bar denver,Denver,US,5,11,0,23,0
,,,,,,,
5280 burger bar denver,Denver,US,6,11,0,22,0
,,,,,,,
5280 sliders denver,Denver,US,0,15,0,22,0
,,,,,,,
5280 sliders denver,Denver,US,1,15,0,22,0
,,,,,,,
5280 sliders denver,Denver,US,2,15,0,22,0
,,,,,,,
5280 sliders denver,Denver,US,3,15,0,22,0
,,,,,,,
5280 sliders denver,Denver,US,4,15,0,0,0
,,,,,,,
5280 sliders denver,Denver,US,5,14,0,0,0
,,,,,,,
5280 sliders denver,Denver,US,6,14,0,22,0
,,,,,,,
580 bench melbourne 2,Melbourne,AU,0,7,0,16,0
,,,,,,,
580 bench melbourne 2,Melbourne,AU,1,7,0,16,0
,,,,,,,
580 bench melbourne 2,Melbourne,AU,2,7,0,16,0
,,,,,,,
580 bench melbourne 2,Melbourne,AU,3,7,0,16,0
,,,,,,,
580 bench melbourne 2,Melbourne,AU,4,7,0,16,0
,,,,,,,
5church charlotte 2,Charlotte,US,0,11,0,22,0
,,,,,,,
5church charlotte 2,Charlotte,US,1,11,0,22,0
,,,,,,,
5church charlotte 2,Charlotte,US,2,11,0,22,0
,,,,,,,
5church charlotte 2,Charlotte,US,3,11,0,23,0
,,,,,,,
5church charlotte 2,Charlotte,US,4,11,0,2,0
,,,,,,,
5church charlotte 2,Charlotte,US,5,11,0,2,0
,,,,,,,
5church charlotte 2,Charlotte,US,6,10,0,22,0
,,,,,,,
62 rokujuni sydney,Sydney,AU,0,11,0,15,0
,,,,,,,
62 rokujuni sydney,Sydney,AU,0,18,0,21,0
,,,,,,,
62 rokujuni sydney,Sydney,AU,1,11,0,15,0
,,,,,,,
62 rokujuni sydney,Sydney,AU,1,18,0,21,0
,,,,,,,
62 rokujuni sydney,Sydney,AU,2,11,0,15,0
,,,,,,,
62 rokujuni sydney,Sydney,AU,2,18,0,21,0
,,,,,,,
62 rokujuni sydney,Sydney,AU,3,11,0,15,0
,,,,,,,
62 rokujuni sydney,Sydney,AU,3,18,0,21,0
,,,,,,,
